# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 4.790e-07 2.742e-06 1.280e-06 9.209e-07
      13 6.380e-07 7.700e-07 6.937e-07 2.889e-08
      16 7.330e-07 9.080e-07 8.166e-07 3.891e-08
      20 8.990e-07 1.135e-06 1.009e-06 5.335e-08
      25 1.151e-06 1.431e-06 1.287e-06 6.512e-08
      32 1.567e-06 1.939e-06 1.752e-06 8.719e-08
      40 2.182e-06 2.756e-06 2.429e-06 1.220e-07
      50 3.065e-06 3.666e-06 3.365e-06 1.411e-07
      63 4.429e-06 5.644e-06 4.915e-06 2.589e-07
      79 5.841e-06 8.133e-06 6.474e-06 4.738e-07
     100 8.711e-06 1.034e-05 9.495e-06 3.772e-07
     126 1.297e-05 1.771e-05 1.428e-05 8.550e-07
     158 1.911e-05 2.415e-05 2.059e-05 8.123e-07
     200 2.860e-05 3.851e-05 3.105e-05 2.095e-06
     251 4.264e-05 4.739e-05 4.472e-05 1.091e-06
     316 6.199e-05 6.807e-05 6.481e-05 1.352e-06
     398 9.078e-05 9.858e-05 9.427e-05 1.752e-06
     501 1.345e-04 1.440e-04 1.394e-04 2.062e-06
     631 2.012e-04 2.738e-04 2.135e-04 1.255e-05
     794 3.089e-04 3.757e-04 3.222e-04 1.050e-05
    1000 4.794e-04 5.554e-04 4.989e-04 1.479e-05
    1259 7.284e-04 8.198e-04 7.569e-04 2.256e-05
    1585 1.144e-03 1.289e-03 1.185e-03 3.072e-05
#------- --------- --------- --------- ---------


# shaker_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 4.710e-07 5.690e-07 5.134e-07 2.278e-08
      13 5.360e-07 6.400e-07 5.849e-07 2.410e-08
      16 6.160e-07 7.580e-07 6.809e-07 3.361e-08
      20 7.490e-07 9.370e-07 8.320e-07 4.289e-08
      25 9.200e-07 1.145e-06 1.031e-06 5.155e-08
      32 1.250e-06 1.593e-06 1.399e-06 8.089e-08
      40 1.581e-06 2.031e-06 1.799e-06 1.044e-07
      50 2.275e-06 2.950e-06 2.571e-06 1.517e-07
      63 3.283e-06 4.565e-06 3.746e-06 2.678e-07
      79 4.784e-06 6.480e-06 5.318e-06 3.091e-07
     100 7.193e-06 1.063e-05 8.305e-06 8.983e-07
     126 1.142e-05 1.348e-05 1.241e-05 4.791e-07
     158 1.705e-05 2.142e-05 1.859e-05 8.988e-07
     200 2.592e-05 3.135e-05 2.790e-05 1.097e-06
     251 3.865e-05 4.733e-05 4.127e-05 1.614e-06
     316 5.754e-05 6.630e-05 6.084e-05 1.688e-06
     398 8.553e-05 9.596e-05 8.952e-05 2.117e-06
     501 1.285e-04 1.516e-04 1.350e-04 3.802e-06
     631 1.976e-04 2.287e-04 2.065e-04 5.333e-06
     794 3.029e-04 3.749e-04 3.187e-04 1.148e-05
    1000 4.718e-04 5.525e-04 4.970e-04 1.587e-05
    1259 7.181e-04 8.286e-04 7.523e-04 2.369e-05
    1585 1.148e-03 1.281e-03 1.198e-03 3.292e-05
#------- --------- --------- --------- ---------


# insertion_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 4.520e-07 5.010e-07 4.723e-07 1.170e-08
      13 4.780e-07 5.460e-07 5.024e-07 1.473e-08
      16 5.040e-07 5.690e-07 5.293e-07 1.520e-08
      20 5.440e-07 6.180e-07 5.742e-07 1.705e-08
      25 6.000e-07 6.880e-07 6.346e-07 2.098e-08
      32 7.050e-07 8.080e-07 7.511e-07 2.333e-08
      40 8.450e-07 1.180e-06 9.105e-07 5.261e-08
      50 1.005e-06 1.161e-06 1.073e-06 3.586e-08
      63 1.208e-06 1.420e-06 1.297e-06 4.801e-08
      79 1.561e-06 2.661e-06 1.870e-06 3.187e-07
     100 2.095e-06 2.500e-06 2.264e-06 8.904e-08
     126 3.047e-06 3.578e-06 3.274e-06 1.197e-07
     158 4.324e-06 8.081e-06 5.590e-06 1.290e-06
     200 6.270e-06 7.128e-06 6.709e-06 2.045e-07
     251 9.309e-06 1.781e-05 1.087e-05 2.220e-06
