# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 2.571e-06 3.444e-06 2.792e-06 1.614e-07
      13 2.958e-06 3.492e-06 3.208e-06 1.273e-07
      16 3.437e-06 4.179e-06 3.783e-06 1.750e-07
      20 3.864e-06 5.119e-06 4.488e-06 3.131e-07
      25 5.352e-06 6.924e-06 6.007e-06 3.346e-07
      32 6.505e-06 8.635e-06 7.440e-06 4.965e-07
      40 8.981e-06 1.088e-05 9.931e-06 4.518e-07
      50 1.263e-05 1.510e-05 1.387e-05 5.851e-07
      63 1.843e-05 2.173e-05 2.007e-05 7.857e-07
      79 1.203e-05 2.763e-05 1.803e-05 3.532e-06
     100 1.460e-05 1.988e-05 1.657e-05 1.371e-06
     126 2.103e-05 2.720e-05 2.295e-05 1.156e-06
     158 3.077e-05 4.146e-05 3.384e-05 2.250e-06
     200 4.585e-05 7.408e-05 5.074e-05 5.203e-06
     251 6.720e-05 8.783e-05 7.189e-05 4.246e-06
     316 1.002e-04 1.423e-04 1.058e-04 6.391e-06
     398 1.497e-04 1.878e-04 1.556e-04 5.816e-06
     501 2.249e-04 2.757e-04 2.321e-04 5.803e-06
     631 3.418e-04 3.618e-04 3.498e-04 4.041e-06
     794 5.219e-04 5.548e-04 5.331e-04 5.730e-06
    1000 8.061e-04 8.353e-04 8.203e-04 6.814e-06
    1259 1.254e-03 1.295e-03 1.274e-03 9.497e-06
#------- --------- --------- --------- ---------


# shaker_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 8.520e-07 1.219e-06 1.028e-06 7.825e-08
      13 9.320e-07 1.316e-06 1.106e-06 1.092e-07
      16 1.048e-06 1.504e-06 1.250e-06 1.245e-07
      20 1.257e-06 1.783e-06 1.476e-06 1.454e-07
      25 1.531e-06 2.175e-06 1.806e-06 1.747e-07
      32 2.046e-06 2.921e-06 2.396e-06 2.181e-07
      40 2.756e-06 3.973e-06 3.223e-06 2.920e-07
      50 3.854e-06 5.331e-06 4.426e-06 3.352e-07
      63 5.527e-06 7.539e-06 6.364e-06 5.066e-07
      79 7.998e-06 9.772e-06 8.798e-06 4.012e-07
     100 1.206e-05 1.449e-05 1.312e-05 5.544e-07
     126 1.799e-05 2.186e-05 1.963e-05 8.438e-07
     158 2.681e-05 3.240e-05 2.913e-05 1.232e-06
     200 4.093e-05 4.875e-05 4.391e-05 1.635e-06
     251 6.160e-05 7.032e-05 6.549e-05 1.979e-06
     316 9.297e-05 1.083e-04 9.856e-05 3.088e-06
     398 1.408e-04 1.558e-04 1.474e-04 3.179e-06
     501 2.145e-04 2.339e-04 2.238e-04 4.294e-06
     631 3.291e-04 3.555e-04 3.412e-04 5.994e-06
     794 5.079e-04 5.540e-04 5.259e-04 9.758e-06
    1000 7.898e-04 8.899e-04 8.183e-04 1.986e-05
    1259 1.237e-03 1.323e-03 1.274e-03 1.759e-05
